Aaon,ANS,aaonorders@aaon.com
Airius,AIS,orders@airiusfans.com
Airtex,AXS,craig.lobosky@engineeredair.com
AQC,AQS,Team@AQCInd.com; AlexisB@aqcind.com
ArctiChill,ARC,blaprise@arctichill.com; ssimms@arctichill.com
Auer Steel,SVS,Tim.Foss@auersteel.com
Blender Products,BLS,paul.johnson@blenderproducts.com
Bosch,BOS,https://bst.bosch-thermotechnology.us/eRep/Home
"BRD NOISE & VIBRATION CONTROL, INC. ",SVS,steffan.kollevoll@brd-nonoise.com; sarah.thomas@brd-nonoise.com
Brinmar,SVS,mhall@brinmar.com
Cambridge Engineering,CAS,smart2@cambridge-eng.com
CDI,SVS,orders@cdicurbs.com; jgaytan@cdicurbs.com
"CGC Group of Companies, Inc.",BUS,JMutch@cssi.ca; rjg@cssi.ca
ChangeAir,CHS,Jim.Calcutt@systemair.net
Climacool,CLS,jacob.erbele@gmail.com
Closed System Labs,SVS,ask@closedsystemlabs.com
Concepts & Designs,CDS,
Condair,CNS,
Dadanco,DDS,
Daikin Comfort,DKS,
Ebtron,EBS,orders@ebtron.com
Efficiency Dynamics,SVS,efficiencydynamics@yahoo.com 
Elite Heating and Air,SVS,steve@myeliteair.com
Evapco,EVS,
Fantech,SVS,orders@fantech.net
Filtration Group,SVS,cc-orders@filtrationgroup.com
"Filtration Systems, Inc.",SVS,jeffn@fsimn.com
First Company,SVS,orders@firstco.com; bwashburn@firstco.com
Flanders,EAS,orders@flanderscorp.com
Flanders - High Purity,EAS,Orderentry@flanderscorp.com
Florida Heat Pumps,FHS,https://bst.bosch-thermotechnology.us/eRep/Home
Fourmation Sales,SVS,orders@fourmationsales.com; chrism@fourmationsales.com
Gaynor Sales,SVS,RWood@gaynorsales.com
GE Appliances,GES,mike.mclarney@geappliances.com
Global Plasma Solutions,GPS,tom.beutell@globalplasmasolutions.com; customercare@globalplasmasolutions.com
Governair,GVS,jmalay@huntair.com
GreaseMaster,GRS,david.breidt@greasemaster.com
Guntner,GUS,alex.schafer@guentner.com
Heat Pipe Technology,HPS,Jon@heatpipe.com
Honeywell,HAS,HASALES.US@Honeywell.com
Huntair,HUS, jmalay@huntair.com
Indeeco,INS,SRedmond@aspeqheating.com
Innovent,IVS,David.Milligan@innoventair.com
Jaga,SVS,KHarder@jaga-canada.com; ckangarloo@jaga-canada.com
Jeremias,JRS,Jeremiasorders@jeremiasinc.com; Glenn.Harvey@Jeremiasinc.com
JJM Boilerworks,SVS,sales@jjmboiler.com
Johnson MarCraft,JOS,blatshaw@arizoncompanies.com
KN Boilers - ATH,KSS,cshaw@mestek.com
L.J. Wing,WNS,DGlover@mestex.com
Motivair,MTS,
Mulcahy,SVS,escharff@mulcahy.coml; msachi@mulcahyco.com
Mussun Sales,SVS,reporders@mussun.com; jmantey@mussun.com
Nu-Air Ventilation,SVS,jaime@nu-airventilation.com
Plastec Ventilation,SVS,vadim@plastecventilation.com
Prihoda,PHS,wade@prihoda-na.com; sales@prihoda-na.com
Purafil,PUS,CArent@purafil.com
Puroflux,SVS,DJamison@puroflux.com
Renewaire,RWS,ROrders@renewaire.com
Ruskin,RUS,cs@ruskin.com
Seiho,SVS,john@seiho.com; ahiraiwa@seiho.com
Steril-Aire,,salesorder@steril-aire.com
Stevens Equipment Supply,SVS,SChristensen@stevensequip.com
Tempeff,TPS,ttodoruk@tempeffnorthamerica.com
Therma-Stor / Quest,SVS,orders@thermastor.com; mcarr@thermastor.com
Thermolec,SVS,sales@THERMOLEC.COM
Tjernlund,TJS,dtjernlund@tjfans.com
Turntide,SVS,b.durfee@turntide.com
UC Design & Distribution,SVS,mhanson@ucdesigndistribution.com
Ventaire,VTS,KyleJ@ventaire.com; danm@ventaire.com
Verdant,SVS,robbie.b@verdant.info
Vibro-Acoustics,VIS,
Williams,WIS,orders@wfc-fc.com
Wir3d Electric Inc.,SVS,Josh.Holte@gmail.com
Yaskawa,YWS,michael_schuenke@yaskawa.com
Young Regulator,YNS,orders@youngregulator.com; joelker@steril-aire.com
